iter	Logloss
0	0.6033557759
1	0.5427608622
2	0.4988340431
3	0.4708568771
4	0.4463627539
5	0.4321295779
6	0.4202425868
7	0.4121497945
8	0.404591955
9	0.4002527574
10	0.3947984384
11	0.3903203548
12	0.3878332454
13	0.3859235483
14	0.3839474102
15	0.3817935804
16	0.3805942596
17	0.3790319009
18	0.3782585571
19	0.3774885239
20	0.3769410468
21	0.3763049995
22	0.3758123868
23	0.3752576948
24	0.3744633741
25	0.3740912582
26	0.3737788839
27	0.3733661252
28	0.3731505521
29	0.3726508664
30	0.3724067828
31	0.3720169242
32	0.3716507014
33	0.3713117234
34	0.3710441937
35	0.3708601355
36	0.3707452385
37	0.3704883902
38	0.370187341
39	0.3700265672
40	0.3698918409
41	0.3696901218
42	0.3695224973
43	0.3692959471
44	0.3691821257
45	0.3690447789
46	0.3688023296
47	0.3686735343
48	0.3685681117
49	0.3684361105
50	0.3681614812
51	0.3680518964
52	0.3679725601
53	0.3678344365
54	0.367722029
55	0.367601478
56	0.367503777
57	0.367399361
58	0.3671710269
59	0.367086512
60	0.3669760133
61	0.3669002298
62	0.3667870406
63	0.3666800223
64	0.3666112034
65	0.3665177723
66	0.3664252427
67	0.3663127136
68	0.366150242
69	0.3660731916
70	0.3659838513
71	0.3658891433
72	0.3658213763
73	0.3657083465
74	0.3656014312
75	0.3655153773
76	0.3654644905
77	0.3654217936
78	0.3653676398
79	0.3652921937
80	0.3651707029
81	0.3651259165
82	0.3650780025
83	0.3650412949
84	0.3649530397
85	0.3648945821
86	0.3648569249
87	0.3648055632
88	0.3647518018
89	0.3646974508
90	0.3645513756
91	0.364473589
92	0.3644320233
93	0.3643258398
94	0.3642566465
95	0.3641784291
96	0.36404467
97	0.3638947607
98	0.3638409336
99	0.3637982445
100	0.3637364596
101	0.3636518521
102	0.3635595901
103	0.3634925671
104	0.3634467091
105	0.3634095567
106	0.3633569764
107	0.3632116917
108	0.3631529244
109	0.3630810835
110	0.3630342965
111	0.3629941156
112	0.3629611549
113	0.362901736
114	0.3628525574
115	0.3627580965
116	0.362676758
117	0.3626320489
118	0.3625511446
119	0.3624246541
120	0.3623633026
121	0.3623051374
122	0.3622642118
123	0.3621873704
124	0.3621420687
125	0.3620895227
126	0.3620119012
127	0.3619403227
128	0.3618674962
129	0.3618176094
130	0.3617686626
131	0.3617193307
132	0.3616775503
133	0.3616425992
134	0.3616017651
135	0.3615493335
136	0.3615001805
137	0.3614436177
138	0.3613904863
139	0.3613456576
140	0.3612881443
141	0.3612307848
142	0.3611594129
143	0.361115259
144	0.361064588
145	0.3610133471
146	0.3609489357
147	0.3608930046
148	0.3608476156
149	0.3607977266
150	0.3607426329
151	0.3606946287
152	0.3606498365
153	0.3606248974
154	0.3605689696
155	0.3604853365
156	0.3604361253
157	0.360393425
158	0.3603476054
159	0.3602905919
160	0.3602528408
161	0.3601786801
162	0.3601259799
163	0.3600736619
164	0.3600285091
165	0.359982031
166	0.3599427292
167	0.3598870998
168	0.3598473395
169	0.3598086735
170	0.35975731
171	0.3597042655
172	0.3596544668
173	0.3596204818
174	0.3595647992
175	0.3595281283
176	0.3594955892
177	0.3594513629
178	0.3594103369
179	0.3593675653
180	0.3593360008
181	0.3592985052
182	0.3592566138
183	0.3592185067
184	0.3591821573
185	0.3591486424
186	0.3590839458
187	0.3590083394
188	0.3589529181
189	0.3589009847
190	0.3588645702
191	0.3588453877
192	0.3587995486
193	0.3587520098
194	0.3586941119
195	0.3586636591
196	0.3586289451
197	0.3585863486
198	0.3585107389
199	0.3584680415
200	0.3584323943
201	0.3583901366
202	0.3583560982
203	0.3583446837
204	0.3583134228
205	0.3582637628
206	0.358217536
207	0.3581808839
208	0.3580936874
209	0.3580609589
210	0.3580240792
211	0.3579914011
212	0.3579513623
213	0.3579173419
214	0.3578728106
215	0.357791374
216	0.3577612346
217	0.3577198194
218	0.3576729161
219	0.3576362022
220	0.3576044937
221	0.3575497562
222	0.3575150562
223	0.3574749218
224	0.3574397898
225	0.3573970597
226	0.3573520517
227	0.3573106688
228	0.3572658867
229	0.357219206
230	0.3571896286
231	0.3571460122
232	0.3571070983
233	0.3570602259
234	0.3570165122
235	0.3569835425
236	0.3569386382
237	0.356899524
238	0.3568633166
239	0.3568246482
240	0.3567827413
241	0.3567538718
242	0.3567218031
243	0.3566667244
244	0.3566266574
245	0.3565900405
246	0.3565528879
247	0.3565149775
248	0.3564612909
249	0.3564295007
250	0.3563954659
251	0.356363398
252	0.3563221004
253	0.356299155
254	0.3562649391
255	0.3562328788
256	0.3561967562
257	0.3561544329
258	0.3561151263
259	0.3560846563
260	0.3560496522
261	0.3560067594
262	0.3559814994
263	0.3559379455
264	0.3558942056
265	0.3558625209
266	0.3558389724
267	0.3558012465
268	0.3557514163
269	0.355714312
270	0.3556845523
271	0.3556541115
272	0.3556202918
273	0.3555821998
274	0.3555440675
275	0.3555151389
276	0.3554654891
277	0.3554324209
278	0.3553862857
279	0.355348178
280	0.3553018563
281	0.3552632214
282	0.355218451
283	0.3551860057
284	0.3551506462
285	0.3551007353
286	0.3550458711
287	0.3550197001
288	0.3549816566
289	0.3549509587
290	0.3549050232
291	0.3548685635
292	0.3548304116
293	0.3547882623
294	0.3547537364
295	0.3547155456
296	0.3546744036
297	0.354644995
298	0.3546024273
299	0.3545651283
300	0.3545304647
301	0.354499374
302	0.3544654315
303	0.3544396527
304	0.3544169579
305	0.3543833889
306	0.3543583383
307	0.354322688
308	0.3542852951
309	0.3542671584
310	0.3542339893
311	0.3541893357
312	0.3541586274
313	0.3541267645
314	0.3540957563
315	0.3540558868
316	0.3540247268
317	0.3539787893
318	0.3539403768
319	0.353912381
320	0.353885213
321	0.3538419876
322	0.3538187743
323	0.3537832382
324	0.35373866
325	0.3537132767
326	0.353671796
327	0.353635098
328	0.3535983208
329	0.3535588513
330	0.3535203213
331	0.3534917608
332	0.3534667136
333	0.3534456413
334	0.3534142785
335	0.3533905641
336	0.3533581922
337	0.353334372
338	0.3533011092
339	0.3532703929
340	0.353237694
341	0.353206279
342	0.3531606454
343	0.3531255807
344	0.3530895752
345	0.3530534301
346	0.3530209351
347	0.3529938654
348	0.3529582376
349	0.3529246556
350	0.3528852445
351	0.3528486552
352	0.3527975355
353	0.3527701829
354	0.3527352819
355	0.3526936533
356	0.3526684562
357	0.3526345366
358	0.3525988283
359	0.3525781355
360	0.3525309129
361	0.3525037743
362	0.3524647767
363	0.3524287568
364	0.352391091
365	0.3523605004
366	0.3523305584
367	0.3522935727
368	0.352256178
369	0.3522267296
370	0.3521876468
371	0.3521580438
372	0.3521574364
373	0.3521223363
374	0.3521060819
375	0.3520831796
376	0.3520459912
377	0.3520172841
378	0.3519670352
379	0.3519275755
380	0.351891376
381	0.35185176
382	0.3518260418
383	0.3517769463
